Episode 242/10000, Total Reward: -74, Epsilon: 0.9760892909928727
edge already selected: 19
Episode 243/10000, Total Reward: -10000000074, Epsilon: 0.9759916820637734
Episode 244/10000, Total Reward: 48, Epsilon: 0.975894082895567
Episode 245/10000, Total Reward: -42, Epsilon: 0.9757964934872775
Episode 246/10000, Total Reward: 48, Epsilon: 0.9756989138379287
Episode 247/10000, Total Reward: -42, Epsilon: 0.975601343946545
Episode 248/10000, Total Reward: -42, Epsilon: 0.9755037838121503
Episode 249/10000, Total Reward: -74, Epsilon: 0.9754062334337691
Episode 250/10000, Total Reward: 16, Epsilon: 0.9753086928104258
Episode 251/10000, Total Reward: 48, Epsilon: 0.9752111619411448
Episode 252/10000, Total Reward: -74, Epsilon: 0.9751136408249507
Episode 253/10000, Total Reward: 48, Epsilon: 0.9750161294608681
Episode 254/10000, Total Reward: -42, Epsilon: 0.974918627847922
edge already selected: 19
Episode 255/10000, Total Reward: -10000000010, Epsilon: 0.9748211359851373
Episode 256/10000, Total Reward: -74, Epsilon: 0.9747236538715388
Episode 257/10000, Total Reward: -42, Epsilon: 0.9746261815061517
Episode 258/10000, Total Reward: 16, Epsilon: 0.9745287188880011
Episode 259/10000, Total Reward: -74, Epsilon: 0.9744312660161123
Episode 260/10000, Total Reward: -74, Epsilon: 0.9743338228895106
Episode 261/10000, Total Reward: 16, Epsilon: 0.9742363895072217
Episode 262/10000, Total Reward: -42, Epsilon: 0.974138965868271
Episode 263/10000, Total Reward: 16, Epsilon: 0.9740415519716842
edge already selected: 19
edge already selected: 19
Episode 264/10000, Total Reward: -20000000074, Epsilon: 0.973944147816487
Episode 265/10000, Total Reward: -74, Epsilon: 0.9738467534017053
Episode 266/10000, Total Reward: -42, Epsilon: 0.9737493687263652
Episode 267/10000, Total Reward: -74, Epsilon: 0.9736519937894925
Episode 268/10000, Total Reward: -74, Epsilon: 0.9735546285901135
Episode 269/10000, Total Reward: 16, Epsilon: 0.9734572731272545
Episode 270/10000, Total Reward: -42, Epsilon: 0.9733599273999418
Episode 271/10000, Total Reward: 48, Epsilon: 0.9732625914072018
Episode 272/10000, Total Reward: 48, Epsilon: 0.9731652651480611
Episode 273/10000, Total Reward: -74, Epsilon: 0.9730679486215463
Episode 274/10000, Total Reward: -42, Epsilon: 0.9729706418266841
edge already selected: 19
Episode 275/10000, Total Reward: -10000000042, Epsilon: 0.9728733447625014
Episode 276/10000, Total Reward: 16, Epsilon: 0.9727760574280252
edge already selected: 19
Episode 277/10000, Total Reward: -10000000042, Epsilon: 0.9726787798222825
Episode 278/10000, Total Reward: -10, Epsilon: 0.9725815119443002
